id;d_3_fault;arrange;strategy;defence;short_pass;violence
c3df776d-aa39-455a-8771-0b01e38b9db0;true;A451;NOT_GIVE_SCORE;63;0;55
f7badb85-5e1e-4a12-b38a-f5c6311fc240;false;A442;COUNTER_ATTACK;1;81;90
b9afa6e4-8520-42a5-b06a-b8ae8bae3e49;true;A433;GET_SCORE;71;10;72
7b416042-830f-459e-8939-43e1c113c0ea;false;A3331;KILL_TIME;30;48;18
5bbd7b01-b73f-45f3-8add-7cd11516d556;true;A4312;COUNTER_ATTACK;41;67;14
81ea2b37-827c-409f-8833-f23572debdad;false;A352;COUNTER_ATTACK;0;81;27
b2ab24fc-4099-47e9-a9a8-3b7a0e520834;false;A4231;NOT_GIVE_SCORE;84;51;93
fb8c3f35-1c70-4087-98fc-9ba9229603eb;false;A3331;KILL_TIME;58;8;36
34dc935e-37ce-4b34-8df4-092022cdf60e;true;A4141;GET_SCORE;73;91;86
6c9eeeb4-05a7-4434-8588-508129cbe1fc;true;A352;GET_SCORE;9;31;42
