id;date;weather;host_goals;guest_goals;events;type
600639f4-0128-48c5-af3d-57eefe61f4ff;2022-12-23T14:12:38;TORNADO;21461;94201;deposit;CUP
b18f51ff-7154-4990-afca-6a6031a0682d;2022-12-23T05:45:41;RAINY;34921;63644;Rubber;LEAGUE
f0d4d3c1-10d8-4e4a-9d87-5a25ecfb5d14;2022-12-23T10:14:05;HAILY;991;78876;e-business Bedfordshire transmit;CUP
4b263b23-ca79-4d5a-b375-fdbcf497eca2;2022-12-23T17:23:25;HAILY;98549;8067;Intranet Group intranet;LEAGUE
4c735381-582a-4cf7-bef6-9f8d8d792527;2022-12-23T06:37:02;RAINY;20715;44369;firewall GB;LEAGUE
ebaa6ba1-7774-476e-9920-19e0b3482ab9;2022-12-23T03:54:04;SUNNY;93464;15788;programming;FRIENDLY
02ee9259-3154-4bed-bbdc-e0326e9c01ce;2022-12-23T17:28:19;SUNNY;64620;16181;Quality functionalities Ball;FREE
df78cc04-2d24-465c-a91e-1a904ee08b99;2022-12-23T13:45:57;RAINY;81090;52240;silver Buckinghamshire Lek;FREE
f8607d72-236d-4971-a2c4-f4916abc0461;2022-12-23T05:09:28;WINDY;55305;49827;Savings THX;FREE
b41bc4f0-c111-4e51-96c2-a5fd521e8abb;2022-12-23T07:15:21;RAINY;46519;84369;quantify green Movies;LEAGUE
