id;clazz;events;finished;start
52daa272-9e33-4795-8226-7e4c761147cb;4;synthesizing;false;2022-12-22T18:22:35
58c9a414-b5e7-4d12-8ad6-900301a63dd2;11;quantify digital;true;2022-12-22T18:43:10
464a45d7-6314-4cf2-bfac-9adb610efd79;12;Gloves;true;2022-12-23T11:18:00
74008fec-9a32-432e-ae59-2c4b40c76295;3;Customer Generic Kentucky;false;2022-12-22T19:23:23
56d5561e-5734-4d7c-9ec9-2799ca16d448;4;Branding functionalities;true;2022-12-22T20:17:22
c05ee146-401f-406c-896f-8fa111cf1b14;8;Human;false;2022-12-23T10:10:01
432b0628-6e01-4e36-90eb-ce764dc77c28;8;Cook protocol;true;2022-12-23T15:27:16
e735080f-271f-4637-ab37-9ca6a48f3e35;10;Enhanced;false;2022-12-23T07:55:03
7c0bbb52-0ff5-4a83-9aa2-d84e0c60e672;2;Producer;false;2022-12-23T06:54:37
e6557f65-86e0-4b24-9d16-8aa7e13cf6d1;7;International Operations;false;2022-12-23T07:08:09
