id;position;win;lose;draw;goal_difference;points
07bc96f9-6dd1-4c9c-a16e-487bd3d8f691;5;40062;60362;91988;29522;30531
f496cab1-8ac2-4267-98c9-66f4646fc70f;5;55833;19331;26446;6431;90252
05ccf155-d507-4ab9-aba5-3390d306d628;5;11815;74947;39170;67291;47925
f2b6b5aa-1d4f-4196-801f-756742c0dd7e;2;2731;50215;49346;17279;94149
537197ed-7483-438c-81a3-fe60092f6315;6;46333;60867;39954;45889;82953
ba974174-88db-45a4-b9fa-181a6bac4db8;8;41782;60982;35709;47026;26593
bdf32f69-2157-491f-af59-38035e92a143;2;30740;52302;67287;30421;77237
a9c76d5f-4f6d-4292-9fad-3fb5e2d1eab6;1;20055;34084;13603;77406;78628
c0e5ca37-e224-4560-99f9-d697db25cc0d;1;633;42160;28949;15633;5647
44cac03c-9828-413e-9fdd-066d395b9ce5;5;5332;97600;66118;51371;59998
