id;name;capacity;ticket;leader;vehicle;field;light;chair;assistant;body_building;doctor
757e2a0c-c601-45d7-aa77-62ac55e37998;Soap withdrawal Colon;33995;20526;2022-12-23T02:27:18;BUS;CLAY;NO_LIGHT;CARBON;NO_ASSISTANT;PARK;PRIVATE_HOSPITAL
6131843b-a13b-4dd3-afb5-4bef9339fd2d;Cambridgeshire;32177;12443;2022-12-23T12:21:44;CRUISE;BEACH;PROJECTOR;WOODEN;CERTIFIED;PRIVATE;PUBLIC_HOSPITAL
b3392474-82be-41d4-819f-44065f58f6e3;Drive;96436;71296;2022-12-23T04:26:59;BUS;BEACH;LED;CONCRETE;PRO;NO_BODYBUILDING;NO_DOCTOR
9753058f-e1dc-4c90-a6c6-1a51a56c978b;capacitor;9803;99131;2022-12-23T15:30:41;PLANE;BEACH;PROJECTOR;CONCRETE;CERTIFIED;PARK;PRIVATE_HOSPITAL
5c699a87-7108-4287-9b6f-a03cb46aae4d;Pizza;23946;98322;2022-12-23T11:54:52;CRUISE;BEACH;NO_LIGHT;PLASTIC;NO_ASSISTANT;NO_BODYBUILDING;NO_DOCTOR
144d110e-a1b7-4941-a27c-98fed320607f;input;16774;5004;2022-12-22T22:09:29;CRUISE;BEACH;LAMP;CARBON;CERTIFIED;NO_BODYBUILDING;PUBLIC_HOSPITAL
a98fb6c0-d588-4164-a289-0cb12cebd1d2;analyzer AGP Salvador;31152;10143;2022-12-23T10:08:38;TRAIN;CLAY;NO_LIGHT;PLASTIC;PRO;NO_BODYBUILDING;NO_DOCTOR
530f9620-e38a-4898-ad69-80e9efb60039;Rand Loan mobile;26802;23461;2022-12-23T16:15:25;PLANE;BEACH;LED;CONCRETE;CERTIFIED;NO_BODYBUILDING;NO_DOCTOR
4cd1b786-86b6-4c4d-a282-04043c93001a;Cambridgeshire;35787;73810;2022-12-22T22:26:55;CRUISE;GRASS;NO_LIGHT;PLASTIC;CERTIFIED;PARK;PRIVATE_HOSPITAL
d11f9718-ea07-45f4-8c9f-abcd15f36a38;executive Account;97583;12781;2022-12-23T02:54:41;CRUISE;GRASS;NO_LIGHT;WOODEN;CERTIFIED;NO_BODYBUILDING;PRIVATE_HOSPITAL
