id;name;homeland;gender;money;points;matches;trophies;readiness;spirit;fans;fans_satisfaction
08a62f88-9845-4f9e-8242-47328a84195f;niches cutting-edge;UK;DIVERSE;55929;55188;43108;2797;29;56;74333;98
285a2412-8687-4dfa-8e10-235c56f7afa3;Handmade;DE;DIVERSE;7923;17307;36258;95267;24;12;700;24
1822f8e3-5e87-4dfa-a70f-acebee67fa4e;Loan;UK;FEMALE;31727;59390;4343;44607;84;87;61566;76
9a9d5a69-b117-4a18-8d91-0a2b919400f5;Tools Facilitator;IR;FEMALE;56156;99859;20646;60703;22;30;95184;95
d07dfce1-409a-417f-b8bd-b97129ae6171;Account;US;MALE;9349;27669;58475;59060;31;35;45172;66
787ddffa-4704-47fa-9943-d4e6f37b58a1;24/7 context-sensitive;IR;DIVERSE;93183;35360;18928;81629;90;57;32429;9
9a2efb49-01cd-405c-9a62-97b93441358d;cultivate quantifying Bedfordshire;UK;DIVERSE;16686;73138;18417;24918;94;4;2410;95
3e4d448a-3f51-4932-9037-ecc7a11d9a84;Concrete PNG Maine;DE;MALE;56499;87608;99384;17125;86;7;45200;58
a82da207-85c0-4df0-ac30-118cb03b8dc1;THX Fresh Mouse;US;MALE;66109;10365;39379;86842;46;60;83972;19
0c237c91-1098-48b5-ae14-9000e79dafb5;online payment enhance;MULTY_CULTI;MALE;36468;18924;8726;33870;27;21;21819;54
