id;training;finishes
a7e97fd5-30f0-47bc-9258-04387516d43d;TECHNIQUE;2022-12-22T19:42:15
f1dec541-e50c-4485-a9b4-dec8ee99584c;DEFENCE;2022-12-23T08:34:23
4a7d43c3-6a37-4b22-9f9f-cd741af43908;PENALTY_DEFENCE;2022-12-23T03:10:05
05871a19-e6ee-455f-8a79-a0c912271840;CORNER_KICK;2022-12-22T20:23:40
ff4957c4-cca1-4681-ac73-cba64023ddeb;GOAL;2022-12-23T17:45:55
8b70c517-c20b-4cc2-8263-1fe6536c8b34;GOALKEEPING;2022-12-23T03:45:57
eaa0e630-58ed-4f9c-b47e-ca08f69a8aba;PASS;2022-12-23T12:28:55
ed433744-96d0-4141-aaba-6b000fac9817;TACKLING;2022-12-23T06:38:10
bb702799-27e5-4a96-8d9f-9921f45fa899;GOAL;2022-12-23T04:00:23
34f191e8-66f4-46b0-88f1-47b1a1287956;TEAMWORK;2022-12-23T08:59:34
