id;league_first_place_prize;league_second_place_prize
76eaffa0-5d8a-4016-8e2b-a9b13970388a;40700;43969
b833dca7-a9ab-44b8-8980-02ad13a2237e;44478;45984
f30b2854-14b2-40ca-a4a2-4e65efc25acf;62062;98446
68c84d90-1e21-4f9b-8b22-809bdfe5eb5c;80597;1944
90549e0e-870e-4ef1-be5b-12820cc427f8;20020;24957
4b41e2a7-2758-4a47-bb96-488ca3b0c8ba;67237;96361
98c7d01c-a80c-4ec1-aa47-9721c1c91463;15525;83183
196a72a0-2073-4fdf-ac5a-74f2e3277f52;62667;16185
8a826525-1f3f-47b0-9307-72eb7319c3a8;57861;92634
11d7b2a8-a730-4516-a21e-82bfcfd5f616;34506;72439
